ID	number_of_datasets	link
Neu2	1	?type=Experiment&target.label=Neu2
Nf-YB	1	?type=Experiment&target.label=Nf-YB
Nf-YC	1	?type=Experiment&target.label=Nf-YC
NfI	1	?type=Experiment&target.label=NfI
ONECUT1	1	?type=Experiment&target.label=ONECUT1
ONECUT2	1	?type=Experiment&target.label=ONECUT2
OSR1	1	?type=Experiment&target.label=OSR1
OSR2	1	?type=Experiment&target.label=OSR2
OTX2	1	?type=Experiment&target.label=OTX2
OVOL1	1	?type=Experiment&target.label=OVOL1
OVOL2	1	?type=Experiment&target.label=OVOL2
OVOL3	1	?type=Experiment&target.label=OVOL3
Oli	1	?type=Experiment&target.label=Oli
PABPC3	1	?type=Experiment&target.label=PABPC3
PABPN1L	1	?type=Experiment&target.label=PABPN1L
PAPOLA	1	?type=Experiment&target.label=PAPOLA
PAWR	1	?type=Experiment&target.label=PAWR
PAXIP1	1	?type=Experiment&target.label=PAXIP1
PBX1	1	?type=Experiment&target.label=PBX1
PCBP3	1	?type=Experiment&target.label=PCBP3
PCBP4	1	?type=Experiment&target.label=PCBP4
PHB	1	?type=Experiment&target.label=PHB
PHDP	1	?type=Experiment&target.label=PHDP
PHF5A	1	?type=Experiment&target.label=PHF5A
PHTF2	1	?type=Experiment&target.label=PHTF2
PITX1	1	?type=Experiment&target.label=PITX1
PLRG1	1	?type=Experiment&target.label=PLRG1
PLSCR1	1	?type=Experiment&target.label=PLSCR1
POGK	1	?type=Experiment&target.label=POGK
POGZ	1	?type=Experiment&target.label=POGZ
POLR2B	1	?type=Experiment&target.label=POLR2B
POLR2H	1	?type=Experiment&target.label=POLR2H
POU6F1	1	?type=Experiment&target.label=POU6F1
PPARA	1	?type=Experiment&target.label=PPARA
PPARG	1	?type=Experiment&target.label=PPARG
PPARGC1A	1	?type=Experiment&target.label=PPARGC1A
PRDM12	1	?type=Experiment&target.label=PRDM12
PRDM2	1	?type=Experiment&target.label=PRDM2
PRDM6	1	?type=Experiment&target.label=PRDM6
PRMT3	1	?type=Experiment&target.label=PRMT3
PRMT5	1	?type=Experiment&target.label=PRMT5
PRPF39	1	?type=Experiment&target.label=PRPF39
PRR3	1	?type=Experiment&target.label=PRR3
PRRX2	1	?type=Experiment&target.label=PRRX2
PTBP3	1	?type=Experiment&target.label=PTBP3
PTRF	1	?type=Experiment&target.label=PTRF
PTTG1	1	?type=Experiment&target.label=PTTG1
PURB	1	?type=Experiment&target.label=PURB
Pcl	1	?type=Experiment&target.label=Pcl
Pif1A	1	?type=Experiment&target.label=Pif1A
Pif1B	1	?type=Experiment&target.label=Pif1B
Psi	1	?type=Experiment&target.label=Psi
RALY	1	?type=Experiment&target.label=RALY
RALYL	1	?type=Experiment&target.label=RALYL
RARA	1	?type=Experiment&target.label=RARA
RARG	1	?type=Experiment&target.label=RARG
RBBP7	1	?type=Experiment&target.label=RBBP7
RBFOX3	1	?type=Experiment&target.label=RBFOX3
RBM11	1	?type=Experiment&target.label=RBM11
RBM15B	1	?type=Experiment&target.label=RBM15B
RBM20	1	?type=Experiment&target.label=RBM20
RBM23	1	?type=Experiment&target.label=RBM23
RBM24	1	?type=Experiment&target.label=RBM24
RBM26	1	?type=Experiment&target.label=RBM26
RBM28	1	?type=Experiment&target.label=RBM28
RBM4	1	?type=Experiment&target.label=RBM4
RBM41	1	?type=Experiment&target.label=RBM41
RBM45	1	?type=Experiment&target.label=RBM45
RBM4B	1	?type=Experiment&target.label=RBM4B
RBM6	1	?type=Experiment&target.label=RBM6
RBM8A	1	?type=Experiment&target.label=RBM8A
RBMS2	1	?type=Experiment&target.label=RBMS2
RBMS3	1	?type=Experiment&target.label=RBMS3
RC3H1	1	?type=Experiment&target.label=RC3H1
RCOR2	1	?type=Experiment&target.label=RCOR2
RECQL5	1	?type=Experiment&target.label=RECQL5
REL	1	?type=Experiment&target.label=REL
RELB	1	?type=Experiment&target.label=RELB
RERE	1	?type=Experiment&target.label=RERE
REXO4	1	?type=Experiment&target.label=REXO4
RFX7	1	?type=Experiment&target.label=RFX7
RFXANK	1	?type=Experiment&target.label=RFXANK
RFXAP	1	?type=Experiment&target.label=RFXAP
RHOXF2B	1	?type=Experiment&target.label=RHOXF2B
RIOK1	1	?type=Experiment&target.label=RIOK1
RIOK2	1	?type=Experiment&target.label=RIOK2
RLF	1	?type=Experiment&target.label=RLF
RNASEH2A	1	?type=Experiment&target.label=RNASEH2A
RNPC3	1	?type=Experiment&target.label=RNPC3
RORA	1	?type=Experiment&target.label=RORA
RORB	1	?type=Experiment&target.label=RORB
RPL18	1	?type=Experiment&target.label=RPL18
RPL29	1	?type=Experiment&target.label=RPL29
RPRD1B	1	?type=Experiment&target.label=RPRD1B
RPS15A	1	?type=Experiment&target.label=RPS15A
RPS2	1	?type=Experiment&target.label=RPS2
RPS25	1	?type=Experiment&target.label=RPS25
RUNX3	1	?type=Experiment&target.label=RUNX3
RXRB	1	?type=Experiment&target.label=RXRB
Rbp1-like	1	?type=Experiment&target.label=Rbp1-like
Ref1	1	?type=Experiment&target.label=Ref1
Rnp4F	1	?type=Experiment&target.label=Rnp4F
Rox8	1	?type=Experiment&target.label=Rox8
Rsf1	1	?type=Experiment&target.label=Rsf1
SALL2	1	?type=Experiment&target.label=SALL2
SAP130	1	?type=Experiment&target.label=SAP130
SATB2	1	?type=Experiment&target.label=SATB2
SCMH1	1	?type=Experiment&target.label=SCMH1
SCRT1	1	?type=Experiment&target.label=SCRT1
SCRT2	1	?type=Experiment&target.label=SCRT2
SF2	1	?type=Experiment&target.label=SF2
SF3B6	1	?type=Experiment&target.label=SF3B6
SHOX2	1	?type=Experiment&target.label=SHOX2
SIX1	1	?type=Experiment&target.label=SIX1
SKI	1	?type=Experiment&target.label=SKI
SMAD9	1	?type=Experiment&target.label=SMAD9
SMARCC1	1	?type=Experiment&target.label=SMARCC1
SNAI1	1	?type=Experiment&target.label=SNAI1
SNAI2	1	?type=Experiment&target.label=SNAI2
SNAPC2	1	?type=Experiment&target.label=SNAPC2
SNAPC4	1	?type=Experiment&target.label=SNAPC4
SNAPC5	1	?type=Experiment&target.label=SNAPC5
SNRPA	1	?type=Experiment&target.label=SNRPA
SNRPB2	1	?type=Experiment&target.label=SNRPB2
SNW1	1	?type=Experiment&target.label=SNW1
SOX15	1	?type=Experiment&target.label=SOX15
SOX18	1	?type=Experiment&target.label=SOX18
SOX5	1	?type=Experiment&target.label=SOX5
SP110	1	?type=Experiment&target.label=SP110
SP140L	1	?type=Experiment&target.label=SP140L
SP3	1	?type=Experiment&target.label=SP3
SP4	1	?type=Experiment&target.label=SP4
SP5	1	?type=Experiment&target.label=SP5
SP7	1	?type=Experiment&target.label=SP7
SPEN	1	?type=Experiment&target.label=SPEN
SRSF10	1	?type=Experiment&target.label=SRSF10
SRSF11	1	?type=Experiment&target.label=SRSF11
SRSF2	1	?type=Experiment&target.label=SRSF2
SRSF8	1	?type=Experiment&target.label=SRSF8
SRY	1	?type=Experiment&target.label=SRY
STAG2	1	?type=Experiment&target.label=STAG2
SUPT5H	1	?type=Experiment&target.label=SUPT5H
Side	1	?type=Experiment&target.label=Side
Six4	1	?type=Experiment&target.label=Six4
Smn	1	?type=Experiment&target.label=Smn
Smox	1	?type=Experiment&target.label=Smox
Snoo	1	?type=Experiment&target.label=Snoo
Sox100B	1	?type=Experiment&target.label=Sox100B
Sox15	1	?type=Experiment&target.label=Sox15
Sp1	1	?type=Experiment&target.label=Sp1
Spps	1	?type=Experiment&target.label=Spps
Sry-β	1	?type=Experiment&target.label=Sry-β
Sry-δ	1	?type=Experiment&target.label=Sry-δ
Ssrp	1	?type=Experiment&target.label=Ssrp
Su(var)2-10	1	?type=Experiment&target.label=Su(var)2-10
Su(var)2-HP2	1	?type=Experiment&target.label=Su(var)2-HP2
Su(var)3-7	1	?type=Experiment&target.label=Su(var)3-7
Su(var)3-9	1	?type=Experiment&target.label=Su(var)3-9
Sxl	1	?type=Experiment&target.label=Sxl
T07F8.4	1	?type=Experiment&target.label=T07F8.4
T20F7.1	1	?type=Experiment&target.label=T20F7.1
T23F11.4	1	?type=Experiment&target.label=T23F11.4
T26A5.8	1	?type=Experiment&target.label=T26A5.8
TAF9B	1	?type=Experiment&target.label=TAF9B
TBPL1	1	?type=Experiment&target.label=TBPL1
TBX18	1	?type=Experiment&target.label=TBX18
TBX2	1	?type=Experiment&target.label=TBX2
TBX21	1	?type=Experiment&target.label=TBX21
TCP1	1	?type=Experiment&target.label=TCP1
TDRD10	1	?type=Experiment&target.label=TDRD10
TEAD3	1	?type=Experiment&target.label=TEAD3
TEF	1	?type=Experiment&target.label=TEF
TERF1	1	?type=Experiment&target.label=TERF1
TFAP2A	1	?type=Experiment&target.label=TFAP2A
TFAP2B	1	?type=Experiment&target.label=TFAP2B
TFCP2	1	?type=Experiment&target.label=TFCP2
TFCP2L1	1	?type=Experiment&target.label=TFCP2L1
TFDP2	1	?type=Experiment&target.label=TFDP2
THAP11	1	?type=Experiment&target.label=THAP11
THAP12	1	?type=Experiment&target.label=THAP12
THAP4	1	?type=Experiment&target.label=THAP4
THAP7	1	?type=Experiment&target.label=THAP7
THAP8	1	?type=Experiment&target.label=THAP8
THAP9	1	?type=Experiment&target.label=THAP9
THRAP3	1	?type=Experiment&target.label=THRAP3
THUMPD1	1	?type=Experiment&target.label=THUMPD1
TIGD3	1	?type=Experiment&target.label=TIGD3
TIGD6	1	?type=Experiment&target.label=TIGD6
TLE2	1	?type=Experiment&target.label=TLE2
TMF1	1	?type=Experiment&target.label=TMF1
TNRC6A	1	?type=Experiment&target.label=TNRC6A
TOX	1	?type=Experiment&target.label=TOX
TOX2	1	?type=Experiment&target.label=TOX2
TP63	1	?type=Experiment&target.label=TP63
TRA2B	1	?type=Experiment&target.label=TRA2B
TRAFD1	1	?type=Experiment&target.label=TRAFD1
TRERF1	1	?type=Experiment&target.label=TRERF1
TRIP13	1	?type=Experiment&target.label=TRIP13
TRIP6	1	?type=Experiment&target.label=TRIP6
TSC22D1	1	?type=Experiment&target.label=TSC22D1
TSC22D4	1	?type=Experiment&target.label=TSC22D4
TSHZ2	1	?type=Experiment&target.label=TSHZ2
Tbp	1	?type=Experiment&target.label=Tbp
U2af50	1	?type=Experiment&target.label=U2af50
UNK	1	?type=Experiment&target.label=UNK
Ubx	1	?type=Experiment&target.label=Ubx
Usf	1	?type=Experiment&target.label=Usf
Vsx1	1	?type=Experiment&target.label=Vsx1
Vsx2	1	?type=Experiment&target.label=Vsx2
W03F9.2	1	?type=Experiment&target.label=W03F9.2
WIZ	1	?type=Experiment&target.label=WIZ
WRNIP1	1	?type=Experiment&target.label=WRNIP1
WT1	1	?type=Experiment&target.label=WT1
XBP1	1	?type=Experiment&target.label=XBP1
XRCC3	1	?type=Experiment&target.label=XRCC3
XRCC4	1	?type=Experiment&target.label=XRCC4
Y116A8C.19	1	?type=Experiment&target.label=Y116A8C.19
Y55F3AM.14	1	?type=Experiment&target.label=Y55F3AM.14
Y5F2A.4	1	?type=Experiment&target.label=Y5F2A.4
YBX2	1	?type=Experiment&target.label=YBX2
YEATS2	1	?type=Experiment&target.label=YEATS2
YEATS4	1	?type=Experiment&target.label=YEATS4
YL-1	1	?type=Experiment&target.label=YL-1
YY2	1	?type=Experiment&target.label=YY2
ZBED4	1	?type=Experiment&target.label=ZBED4
ZBED5	1	?type=Experiment&target.label=ZBED5
ZBTB14	1	?type=Experiment&target.label=ZBTB14
ZBTB20	1	?type=Experiment&target.label=ZBTB20
ZBTB24	1	?type=Experiment&target.label=ZBTB24
ZBTB25	1	?type=Experiment&target.label=ZBTB25
ZBTB3	1	?type=Experiment&target.label=ZBTB3
ZBTB37	1	?type=Experiment&target.label=ZBTB37
ZBTB38	1	?type=Experiment&target.label=ZBTB38
ZBTB39	1	?type=Experiment&target.label=ZBTB39
ZBTB42	1	?type=Experiment&target.label=ZBTB42
ZBTB43	1	?type=Experiment&target.label=ZBTB43
ZBTB46	1	?type=Experiment&target.label=ZBTB46
ZBTB48	1	?type=Experiment&target.label=ZBTB48
ZBTB6	1	?type=Experiment&target.label=ZBTB6
ZBTB9	1	?type=Experiment&target.label=ZBTB9
ZC3H18	1	?type=Experiment&target.label=ZC3H18
ZCCHC11	1	?type=Experiment&target.label=ZCCHC11
ZCRB1	1	?type=Experiment&target.label=ZCRB1
ZFHX2	1	?type=Experiment&target.label=ZFHX2
ZFHX3	1	?type=Experiment&target.label=ZFHX3
ZFP14	1	?type=Experiment&target.label=ZFP14
ZFP2	1	?type=Experiment&target.label=ZFP2
ZFP62	1	?type=Experiment&target.label=ZFP62
ZFP69B	1	?type=Experiment&target.label=ZFP69B
ZFP82	1	?type=Experiment&target.label=ZFP82
ZFP90	1	?type=Experiment&target.label=ZFP90
ZFPM2	1	?type=Experiment&target.label=ZFPM2
ZFY	1	?type=Experiment&target.label=ZFY
ZGPAT	1	?type=Experiment&target.label=ZGPAT
ZHX3	1	?type=Experiment&target.label=ZHX3
ZIC2	1	?type=Experiment&target.label=ZIC2
ZK185.1	1	?type=Experiment&target.label=ZK185.1
ZKSCAN3	1	?type=Experiment&target.label=ZKSCAN3
ZKSCAN5	1	?type=Experiment&target.label=ZKSCAN5
ZMAT3	1	?type=Experiment&target.label=ZMAT3
ZMAT4	1	?type=Experiment&target.label=ZMAT4
ZMAT5	1	?type=Experiment&target.label=ZMAT5
ZMYM2	1	?type=Experiment&target.label=ZMYM2
ZNF112	1	?type=Experiment&target.label=ZNF112
ZNF132	1	?type=Experiment&target.label=ZNF132
ZNF134	1	?type=Experiment&target.label=ZNF134
ZNF136	1	?type=Experiment&target.label=ZNF136
ZNF142	1	?type=Experiment&target.label=ZNF142
ZNF155	1	?type=Experiment&target.label=ZNF155
ZNF157	1	?type=Experiment&target.label=ZNF157
ZNF16	1	?type=Experiment&target.label=ZNF16
ZNF160	1	?type=Experiment&target.label=ZNF160
ZNF165	1	?type=Experiment&target.label=ZNF165
ZNF17	1	?type=Experiment&target.label=ZNF17
ZNF181	1	?type=Experiment&target.label=ZNF181
ZNF189	1	?type=Experiment&target.label=ZNF189
ZNF19	1	?type=Experiment&target.label=ZNF19
ZNF195	1	?type=Experiment&target.label=ZNF195
ZNF197	1	?type=Experiment&target.label=ZNF197
ZNF2	1	?type=Experiment&target.label=ZNF2
ZNF20	1	?type=Experiment&target.label=ZNF20
ZNF202	1	?type=Experiment&target.label=ZNF202
ZNF205	1	?type=Experiment&target.label=ZNF205
ZNF212	1	?type=Experiment&target.label=ZNF212
ZNF213	1	?type=Experiment&target.label=ZNF213
ZNF214	1	?type=Experiment&target.label=ZNF214
ZNF215	1	?type=Experiment&target.label=ZNF215
ZNF219	1	?type=Experiment&target.label=ZNF219
ZNF223	1	?type=Experiment&target.label=ZNF223
ZNF225	1	?type=Experiment&target.label=ZNF225
ZNF227	1	?type=Experiment&target.label=ZNF227
ZNF230	1	?type=Experiment&target.label=ZNF230
ZNF234	1	?type=Experiment&target.label=ZNF234
ZNF248	1	?type=Experiment&target.label=ZNF248
ZNF25	1	?type=Experiment&target.label=ZNF25
ZNF250	1	?type=Experiment&target.label=ZNF250
ZNF251	1	?type=Experiment&target.label=ZNF251
ZNF256	1	?type=Experiment&target.label=ZNF256
ZNF26	1	?type=Experiment&target.label=ZNF26
ZNF260	1	?type=Experiment&target.label=ZNF260
ZNF266	1	?type=Experiment&target.label=ZNF266
ZNF275	1	?type=Experiment&target.label=ZNF275
ZNF276	1	?type=Experiment&target.label=ZNF276
ZNF277	1	?type=Experiment&target.label=ZNF277
ZNF280A	1	?type=Experiment&target.label=ZNF280A
ZNF280C	1	?type=Experiment&target.label=ZNF280C
ZNF296	1	?type=Experiment&target.label=ZNF296
ZNF30	1	?type=Experiment&target.label=ZNF30
ZNF300	1	?type=Experiment&target.label=ZNF300
ZNF317	1	?type=Experiment&target.label=ZNF317
ZNF319	1	?type=Experiment&target.label=ZNF319
ZNF329	1	?type=Experiment&target.label=ZNF329
ZNF333	1	?type=Experiment&target.label=ZNF333
ZNF337	1	?type=Experiment&target.label=ZNF337
ZNF33A	1	?type=Experiment&target.label=ZNF33A
ZNF33B	1	?type=Experiment&target.label=ZNF33B
ZNF341	1	?type=Experiment&target.label=ZNF341
ZNF343	1	?type=Experiment&target.label=ZNF343
ZNF346	1	?type=Experiment&target.label=ZNF346
ZNF347	1	?type=Experiment&target.label=ZNF347
ZNF366	1	?type=Experiment&target.label=ZNF366
ZNF367	1	?type=Experiment&target.label=ZNF367
ZNF37A	1	?type=Experiment&target.label=ZNF37A
ZNF383	1	?type=Experiment&target.label=ZNF383
ZNF391	1	?type=Experiment&target.label=ZNF391
ZNF394	1	?type=Experiment&target.label=ZNF394
ZNF396	1	?type=Experiment&target.label=ZNF396
ZNF397	1	?type=Experiment&target.label=ZNF397
ZNF404	1	?type=Experiment&target.label=ZNF404
ZNF408	1	?type=Experiment&target.label=ZNF408
ZNF41	1	?type=Experiment&target.label=ZNF41
ZNF425	1	?type=Experiment&target.label=ZNF425
ZNF426	1	?type=Experiment&target.label=ZNF426
ZNF430	1	?type=Experiment&target.label=ZNF430
ZNF432	1	?type=Experiment&target.label=ZNF432
ZNF433	1	?type=Experiment&target.label=ZNF433
ZNF436	1	?type=Experiment&target.label=ZNF436
ZNF438	1	?type=Experiment&target.label=ZNF438
ZNF44	1	?type=Experiment&target.label=ZNF44
ZNF441	1	?type=Experiment&target.label=ZNF441
ZNF445	1	?type=Experiment&target.label=ZNF445
ZNF446	1	?type=Experiment&target.label=ZNF446
ZNF451	1	?type=Experiment&target.label=ZNF451
ZNF460	1	?type=Experiment&target.label=ZNF460
ZNF462	1	?type=Experiment&target.label=ZNF462
ZNF468	1	?type=Experiment&target.label=ZNF468
ZNF473	1	?type=Experiment&target.label=ZNF473
ZNF483	1	?type=Experiment&target.label=ZNF483
ZNF484	1	?type=Experiment&target.label=ZNF484
ZNF485	1	?type=Experiment&target.label=ZNF485
ZNF488	1	?type=Experiment&target.label=ZNF488
ZNF490	1	?type=Experiment&target.label=ZNF490
ZNF491	1	?type=Experiment&target.label=ZNF491
ZNF493	1	?type=Experiment&target.label=ZNF493
ZNF503	1	?type=Experiment&target.label=ZNF503
ZNF514	1	?type=Experiment&target.label=ZNF514
ZNF518A	1	?type=Experiment&target.label=ZNF518A
ZNF518B	1	?type=Experiment&target.label=ZNF518B
ZNF521	1	?type=Experiment&target.label=ZNF521
ZNF524	1	?type=Experiment&target.label=ZNF524
ZNF526	1	?type=Experiment&target.label=ZNF526
ZNF527	1	?type=Experiment&target.label=ZNF527
ZNF529	1	?type=Experiment&target.label=ZNF529
ZNF532	1	?type=Experiment&target.label=ZNF532
ZNF543	1	?type=Experiment&target.label=ZNF543
ZNF544	1	?type=Experiment&target.label=ZNF544
ZNF550	1	?type=Experiment&target.label=ZNF550
ZNF551	1	?type=Experiment&target.label=ZNF551
ZNF552	1	?type=Experiment&target.label=ZNF552
ZNF555	1	?type=Experiment&target.label=ZNF555
ZNF556	1	?type=Experiment&target.label=ZNF556
ZNF557	1	?type=Experiment&target.label=ZNF557
ZNF560	1	?type=Experiment&target.label=ZNF560
ZNF562	1	?type=Experiment&target.label=ZNF562
ZNF563	1	?type=Experiment&target.label=ZNF563
ZNF565	1	?type=Experiment&target.label=ZNF565
ZNF569	1	?type=Experiment&target.label=ZNF569
ZNF57	1	?type=Experiment&target.label=ZNF57
ZNF570	1	?type=Experiment&target.label=ZNF570
ZNF572	1	?type=Experiment&target.label=ZNF572
ZNF576	1	?type=Experiment&target.label=ZNF576
ZNF579	1	?type=Experiment&target.label=ZNF579
ZNF583	1	?type=Experiment&target.label=ZNF583
ZNF584	1	?type=Experiment&target.label=ZNF584
ZNF585B	1	?type=Experiment&target.label=ZNF585B
ZNF586	1	?type=Experiment&target.label=ZNF586
ZNF596	1	?type=Experiment&target.label=ZNF596
ZNF597	1	?type=Experiment&target.label=ZNF597
ZNF598	1	?type=Experiment&target.label=ZNF598
ZNF600	1	?type=Experiment&target.label=ZNF600
ZNF605	1	?type=Experiment&target.label=ZNF605
ZNF607	1	?type=Experiment&target.label=ZNF607
ZNF609	1	?type=Experiment&target.label=ZNF609
ZNF610	1	?type=Experiment&target.label=ZNF610
ZNF614	1	?type=Experiment&target.label=ZNF614
ZNF615	1	?type=Experiment&target.label=ZNF615
ZNF616	1	?type=Experiment&target.label=ZNF616
ZNF619	1	?type=Experiment&target.label=ZNF619
ZNF621	1	?type=Experiment&target.label=ZNF621
ZNF623	1	?type=Experiment&target.label=ZNF623
ZNF626	1	?type=Experiment&target.label=ZNF626
ZNF641	1	?type=Experiment&target.label=ZNF641
ZNF645	1	?type=Experiment&target.label=ZNF645
ZNF646	1	?type=Experiment&target.label=ZNF646
ZNF652	1	?type=Experiment&target.label=ZNF652
ZNF654	1	?type=Experiment&target.label=ZNF654
ZNF655	1	?type=Experiment&target.label=ZNF655
ZNF658	1	?type=Experiment&target.label=ZNF658
ZNF662	1	?type=Experiment&target.label=ZNF662
ZNF664	1	?type=Experiment&target.label=ZNF664
ZNF668	1	?type=Experiment&target.label=ZNF668
ZNF671	1	?type=Experiment&target.label=ZNF671
ZNF672	1	?type=Experiment&target.label=ZNF672
ZNF674	1	?type=Experiment&target.label=ZNF674
ZNF677	1	?type=Experiment&target.label=ZNF677
ZNF678	1	?type=Experiment&target.label=ZNF678
ZNF680	1	?type=Experiment&target.label=ZNF680
ZNF691	1	?type=Experiment&target.label=ZNF691
ZNF692	1	?type=Experiment&target.label=ZNF692
ZNF695	1	?type=Experiment&target.label=ZNF695
ZNF696	1	?type=Experiment&target.label=ZNF696
ZNF699	1	?type=Experiment&target.label=ZNF699
ZNF70	1	?type=Experiment&target.label=ZNF70
ZNF700	1	?type=Experiment&target.label=ZNF700
ZNF701	1	?type=Experiment&target.label=ZNF701
ZNF703	1	?type=Experiment&target.label=ZNF703
ZNF704	1	?type=Experiment&target.label=ZNF704
ZNF709	1	?type=Experiment&target.label=ZNF709
ZNF71	1	?type=Experiment&target.label=ZNF71
ZNF710	1	?type=Experiment&target.label=ZNF710
ZNF713	1	?type=Experiment&target.label=ZNF713
ZNF717	1	?type=Experiment&target.label=ZNF717
ZNF720	1	?type=Experiment&target.label=ZNF720
ZNF724P	1	?type=Experiment&target.label=ZNF724P
ZNF737	1	?type=Experiment&target.label=ZNF737
ZNF746	1	?type=Experiment&target.label=ZNF746
ZNF747	1	?type=Experiment&target.label=ZNF747
ZNF749	1	?type=Experiment&target.label=ZNF749
ZNF75A	1	?type=Experiment&target.label=ZNF75A
ZNF761	1	?type=Experiment&target.label=ZNF761
ZNF764	1	?type=Experiment&target.label=ZNF764
ZNF77	1	?type=Experiment&target.label=ZNF77
ZNF772	1	?type=Experiment&target.label=ZNF772
ZNF773	1	?type=Experiment&target.label=ZNF773
ZNF775	1	?type=Experiment&target.label=ZNF775
ZNF782	1	?type=Experiment&target.label=ZNF782
ZNF784	1	?type=Experiment&target.label=ZNF784
ZNF786	1	?type=Experiment&target.label=ZNF786
ZNF79	1	?type=Experiment&target.label=ZNF79
ZNF790	1	?type=Experiment&target.label=ZNF790
ZNF791	1	?type=Experiment&target.label=ZNF791
ZNF816	1	?type=Experiment&target.label=ZNF816
ZNF837	1	?type=Experiment&target.label=ZNF837
ZNF839	1	?type=Experiment&target.label=ZNF839
ZNF84	1	?type=Experiment&target.label=ZNF84
ZNF843	1	?type=Experiment&target.label=ZNF843
ZNF850	1	?type=Experiment&target.label=ZNF850
ZNF865	1	?type=Experiment&target.label=ZNF865
ZNF883	1	?type=Experiment&target.label=ZNF883
ZNF891	1	?type=Experiment&target.label=ZNF891
ZSCAN12	1	?type=Experiment&target.label=ZSCAN12
ZSCAN16	1	?type=Experiment&target.label=ZSCAN16
ZSCAN22	1	?type=Experiment&target.label=ZSCAN22
ZSCAN23	1	?type=Experiment&target.label=ZSCAN23
ZSCAN25	1	?type=Experiment&target.label=ZSCAN25
ZSCAN26	1	?type=Experiment&target.label=ZSCAN26
ZSCAN31	1	?type=Experiment&target.label=ZSCAN31
ZSCAN32	1	?type=Experiment&target.label=ZSCAN32
ZSCAN4	1	?type=Experiment&target.label=ZSCAN4
ZSCAN5C	1	?type=Experiment&target.label=ZSCAN5C
ZSCAN9	1	?type=Experiment&target.label=ZSCAN9
ZUFSP	1	?type=Experiment&target.label=ZUFSP
ZXDB	1	?type=Experiment&target.label=ZXDB
ZXDC	1	?type=Experiment&target.label=ZXDC
ab	1	?type=Experiment&target.label=ab
abd-A	1	?type=Experiment&target.label=abd-A
ac	1	?type=Experiment&target.label=ac
achi	1	?type=Experiment&target.label=achi
acj6	1	?type=Experiment&target.label=acj6
ahr-1	1	?type=Experiment&target.label=ahr-1
akir-1	1	?type=Experiment&target.label=akir-1
aly-1	1	?type=Experiment&target.label=aly-1
ash1	1	?type=Experiment&target.label=ash1
atf-7	1	?type=Experiment&target.label=atf-7
athp-1	1	?type=Experiment&target.label=athp-1
attf-4	1	?type=Experiment&target.label=attf-4
attf-5	1	?type=Experiment&target.label=attf-5
az2	1	?type=Experiment&target.label=az2
bab1	1	?type=Experiment&target.label=bab1
bab2	1	?type=Experiment&target.label=bab2
barc	1	?type=Experiment&target.label=barc
bcd	1	?type=Experiment&target.label=bcd
bed-3	1	?type=Experiment&target.label=bed-3
bigmax	1	?type=Experiment&target.label=bigmax
bl	1	?type=Experiment&target.label=bl
bol	1	?type=Experiment&target.label=bol
bon	1	?type=Experiment&target.label=bon
brk	1	?type=Experiment&target.label=brk
btn	1	?type=Experiment&target.label=btn
cato	1	?type=Experiment&target.label=cato
caup	1	?type=Experiment&target.label=caup
cbt	1	?type=Experiment&target.label=cbt
ccch-3	1	?type=Experiment&target.label=ccch-3
cebp-1	1	?type=Experiment&target.label=cebp-1
ceh-13	1	?type=Experiment&target.label=ceh-13
ceh-19	1	?type=Experiment&target.label=ceh-19
ceh-22	1	?type=Experiment&target.label=ceh-22
ceh-27	1	?type=Experiment&target.label=ceh-27
ceh-32	1	?type=Experiment&target.label=ceh-32
ceh-34	1	?type=Experiment&target.label=ceh-34
ceh-36	1	?type=Experiment&target.label=ceh-36
ceh-39	1	?type=Experiment&target.label=ceh-39
ceh-43	1	?type=Experiment&target.label=ceh-43
ceh-48	1	?type=Experiment&target.label=ceh-48
ceh-6	1	?type=Experiment&target.label=ceh-6
ceh-62	1	?type=Experiment&target.label=ceh-62
ceh-63	1	?type=Experiment&target.label=ceh-63
ceh-79	1	?type=Experiment&target.label=ceh-79
ceh-8	1	?type=Experiment&target.label=ceh-8
ceh-83	1	?type=Experiment&target.label=ceh-83
ceh-90	1	?type=Experiment&target.label=ceh-90
cey-2	1	?type=Experiment&target.label=cey-2
cg	1	?type=Experiment&target.label=cg
chd-7	1	?type=Experiment&target.label=chd-7
che-1	1	?type=Experiment&target.label=che-1
chn	1	?type=Experiment&target.label=chn
cic	1	?type=Experiment&target.label=cic
cnd-1	1	?type=Experiment&target.label=cnd-1
cog-1	1	?type=Experiment&target.label=cog-1
corto	1	?type=Experiment&target.label=corto
crc	1	?type=Experiment&target.label=crc
crh-2	1	?type=Experiment&target.label=crh-2
cwo	1	?type=Experiment&target.label=cwo
cyc	1	?type=Experiment&target.label=cyc
da	1	?type=Experiment&target.label=da
dac	1	?type=Experiment&target.label=dac
dao-5	1	?type=Experiment&target.label=dao-5
die-1	1	?type=Experiment&target.label=die-1
disco	1	?type=Experiment&target.label=disco
disco-r	1	?type=Experiment&target.label=disco-r
dm	1	?type=Experiment&target.label=dm
dmrt11E	1	?type=Experiment&target.label=dmrt11E
dmrt93B	1	?type=Experiment&target.label=dmrt93B
dmrt99B	1	?type=Experiment&target.label=dmrt99B
dpff-1	1	?type=Experiment&target.label=dpff-1
dpy-27	1	?type=Experiment&target.label=dpy-27
